frame_index,component_id,length,centroid_x,centroid_y
38,3,45.0,273.4888888888889,163.9777777777778
38,4,48.0,177.89583333333334,175.5
38,5,59.0,75.50847457627118,252.135593220339
38,6,60.0,91.48333333333333,301.5
38,7,133.0,54.50375939849624,354.4661654135338
39,1,163.0,39.04294478527607,69.91411042944786
39,2,51.0,296.98039215686276,115.0
39,3,65.0,280.81538461538463,133.76923076923077
39,4,35.0,49.2,142.25714285714287
39,5,94.0,92.19148936170212,229.04255319148936
39,6,59.0,92.54237288135593,304.0
39,7,124.0,54.45967741935484,354.1209677419355
40,1,178.0,39.235955056179776,68.9438202247191
40,2,49.0,296.9795918367347,115.0
40,3,61.0,277.8360655737705,144.98360655737704
40,4,33.0,50.57575757575758,141.54545454545453
40,5,86.0,90.69767441860465,232.13953488372093
40,6,67.0,94.29850746268657,308.8955223880597
40,7,135.0,54.72592592592593,355.05925925925925
41,1,185.0,39.09189189189189,68.55135135135136
41,2,52.0,297.1730769230769,114.5
41,3,59.0,280.06779661016947,135.0
41,4,29.0,49.10344827586207,142.0344827586207
41,5,112.0,84.16964285714286,237.98214285714286
41,6,54.0,91.51851851851852,301.5
41,7,110.0,54.61818181818182,354.5
42,1,161.0,39.05590062111801,68.74534161490683
42,2,43.0,297.0,118.0
42,3,42.0,283.14285714285717,123.5
42,4,36.0,46.55555555555556,142.19444444444446
42,5,54.0,92.18518518518519,228.38888888888889
42,6,56.0,91.14285714285714,300.5
42,7,119.0,54.1764705882353,353.1344537815126
43,1,179.0,39.20670391061452,66.26815642458101
43,2,46.0,296.80434782608694,118.5
43,3,61.0,280.9836065573771,131.9344262295082
43,4,41.0,99.65853658536585,213.0
43,5,61.0,92.81967213114754,304.7049180327869
43,6,125.0,54.888,354.992
43,7,37.0,229.6216216216216,384.02702702702703
44,1,199.0,38.8391959798995,70.47236180904522
44,2,48.0,296.8541666666667,116.5
44,3,69.0,279.8840579710145,137.0
44,4,34.0,177.08823529411765,180.5
44,5,49.0,79.04081632653062,257.48979591836735
44,6,56.0,92.75,304.5
44,7,119.0,55.319327731092436,356.0
45,1,160.0,38.64375,74.175
45,2,48.0,296.8125,116.5
45,3,33.0,41.36363636363637,144.9090909090909
45,4,53.0,177.8679245283019,175.62264150943398
45,5,52.0,91.76923076923077,301.5
45,6,113.0,54.49557522123894,354.0265486725664
46,1,151.0,38.64238410596027,74.25165562913908
46,2,53.0,296.8490566037736,117.0
46,3,26.0,44.5,143.34615384615384
46,4,40.0,27.85,271.5
46,5,54.0,91.4074074074074,300.5
46,6,125.0,54.328,353.176
46,7,44.0,230.04545454545453,383.45454545454544
47,1,181.0,38.87845303867403,72.33701657458563
47,2,45.0,296.64444444444445,119.0
47,3,46.0,282.0869565217391,125.5
47,4,30.0,42.9,144.8
47,5,98.0,79.85714285714286,252.8877551020408
47,6,39.0,27.82051282051282,271.0
47,7,57.0,92.91228070175438,305.0
47,8,112.0,54.598214285714285,353.54464285714283
48,1,181.0,38.77900552486188,71.22651933701657
48,2,52.0,297.0,116.07692307692308
48,3,33.0,282.3636363636364,132.0
48,4,38.0,47.10526315789474,142.39473684210526
48,5,43.0,177.6046511627907,176.0
48,6,58.0,84.63793103448276,244.5
48,7,40.0,26.875,268.625
48,8,57.0,91.36842105263158,301.0
48,9,117.0,55.36752136752137,357.0
